WK_NR,Wahlbeteiligung,WK
163,"75,70",Chemnitzer Umland – Erzgebirgskreis II
164,"75,46",Erzgebirgskreis I
165,"72,71",Zwickau
166,"73,95",Vogtlandkreis
167,"76,46",Waldeck
168,"75,46",Kassel
169,"75,98",Werra-Meißner – Hersfeld-Rotenburg
170,"77,49",Schwalm-Eder
171,"77,67",Marburg
172,"74,25",Lahn-Dill
173,"76,50",Gießen
174,"77,15",Fulda
175,"77,07",Main-Kinzig – Wetterau II – Schotten
176,"80,61",Hochtaunus
177,"78,70",Wetterau I
178,"78,80",Rheingau-Taunus – Limburg
179,"73,81",Wiesbaden
180,"75,61",Hanau
181,"81,43",Main-Taunus
182,"72,50",Frankfurt am Main I
183,"76,98",Frankfurt am Main II
184,"76,30",Groß-Gerau
185,"74,29",Offenbach
186,"79,34",Darmstadt
187,"78,91",Odenwald
188,"78,66",Bergstraße
189,"73,08",Eichsfeld – Nordhausen – Kyffhäuserkreis
190,"73,31",Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis
191,"76,38",Jena – Sömmerda – Weimarer Land I
192,"74,65",Gotha – Ilm-Kreis
193,"75,81",Erfurt – Weimar – Weimarer Land II
194,"73,50",Gera – Greiz – Altenburger Land
195,"75,02",Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis
196,"72,61",Suhl – Schmalkalden-Meiningen – Hildburghausen – Sonneberg
197,"75,90",Neuwied
198,"77,49",Ahrweiler
199,"76,73",Koblenz
200,"78,39",Mosel/Rhein-Hunsrück
201,"75,56",Kreuznach
202,"77,14",Bitburg
203,"78,59",Trier
204,"77,82",Montabaur
205,"81,34",Mainz
206,"79,48",Worms
207,"75,08",Ludwigshafen/Frankenthal
208,"79,99",Neustadt – Speyer
209,"75,21",Kaiserslautern
210,"76,01",Pirmasens
211,"79,20",Südpfalz
212,"75,37",Altötting
213,"82,42",Erding – Ebersberg
214,"79,17",Freising
215,"82,18",Fürstenfeldbruck
216,"77,14",Ingolstadt
217,"76,93",München-Nord
218,"78,15",München-Ost
219,"78,66",München-Süd
220,"80,15",München-West/Mitte
221,"83,88",München-Land
222,"79,30",Rosenheim
223,"80,12",Bad Tölz-Wolfratshausen – Miesbach
224,"82,86",Starnberg – Landsberg am Lech
225,"77,05",Traunstein
226,"80,36",Weilheim
227,"71,68",Deggendorf
228,"77,24",Landshut
229,"74,05",Passau
230,"73,71",Rottal-Inn
231,"74,40",Straubing
232,"78,52",Amberg
233,"78,60",Regensburg
234,"75,11",Schwandorf
235,"77,50",Weiden
236,"79,57",Bamberg
237,"77,61",Bayreuth
238,"77,17",Coburg
239,"75,75",Hof
240,"79,04",Kulmbach
241,"76,29",Ansbach
242,"81,92",Erlangen
243,"77,79",Fürth
244,"76,06",Nürnberg-Nord
245,"72,65",Nürnberg-Süd
246,"81,69",Roth
247,"79,04",Aschaffenburg
248,"79,25",Bad Kissingen
249,"80,13",Main-Spessart
250,"78,46",Schweinfurt
251,"80,96",Würzburg
252,"72,78",Augsburg-Stadt
253,"80,01",Augsburg-Land
254,"77,48",Donau-Ries
255,"75,96",Neu-Ulm
256,"77,86",Oberallgäu
257,"77,39",Ostallgäu
258,"82,75",Stuttgart I
259,"76,26",Stuttgart II
260,"80,01",Böblingen
261,"80,30",Esslingen
262,"81,17",Nürtingen
263,"77,12",Göppingen
264,"80,01",Waiblingen
265,"80,39",Ludwigsburg
266,"81,28",Neckar-Zaber
267,"76,56",Heilbronn
268,"76,07",Schwäbisch Hall – Hohenlohe
269,"77,26",Backnang – Schwäbisch Gmünd
270,"76,71",Aalen – Heidenheim
271,"77,63",Karlsruhe-Stadt
272,"80,48",Karlsruhe-Land
273,"76,14",Rastatt
274,"82,20",Heidelberg
275,"73,03",Mannheim
276,"77,46",Odenwald – Tauber
277,"78,89",Rhein-Neckar
278,"78,72",Bruchsal – Schwetzingen
279,"76,50",Pforzheim
280,"77,50",Calw
281,"81,35",Freiburg
282,"76,40",Lörrach – Müllheim
283,"77,18",Emmendingen – Lahr
284,"75,76",Offenburg
285,"76,30",Rottweil – Tuttlingen
286,"75,95",Schwarzwald-Baar
287,"77,44",Konstanz
288,"76,82",Waldshut
289,"78,85",Reutlingen
290,"81,33",Tübingen
291,"79,70",Ulm
292,"78,85",Biberach
293,"79,38",Bodensee
294,"78,19",Ravensburg
295,"76,01",Zollernalb – Sigmaringen
296,"73,84",Saarbrücken
297,"77,32",Saarlouis
298,"79,67",St. Wendel
299,"75,88",Homburg
